time,ISEQ All Share,volume
17/07/1986 02:00,953.29,0
18/07/1986 02:00,953.29,0
21/07/1986 02:00,953.29,0
22/07/1986 02:00,953.29,0
23/07/1986 02:00,953.29,0
24/07/1986 02:00,988.99,0
25/07/1986 02:00,988.99,0
28/07/1986 02:00,988.99,0
29/07/1986 02:00,988.99,0
30/07/1986 02:00,988.99,0
31/07/1986 02:00,976.62,0
01/08/1986 02:00,976.62,0
04/08/1986 02:00,976.62,0
05/08/1986 02:00,976.62,0
06/08/1986 02:00,976.62,0
07/08/1986 02:00,972.66,0
08/08/1986 02:00,972.66,0
11/08/1986 02:00,972.66,0
12/08/1986 02:00,972.66,0
13/08/1986 02:00,972.66,0
14/08/1986 02:00,951.21,0
15/08/1986 02:00,951.21,0
18/08/1986 02:00,951.21,0
19/08/1986 02:00,951.21,0
20/08/1986 02:00,951.21,0
21/08/1986 02:00,899.04,0
22/08/1986 02:00,899.04,0
25/08/1986 02:00,899.04,0
26/08/1986 02:00,899.04,0
27/08/1986 02:00,899.04,0
28/08/1986 02:00,907.28,0
29/08/1986 02:00,907.28,0
01/09/1986 02:00,907.28,0
02/09/1986 02:00,907.28,0
03/09/1986 02:00,907.28,0
04/09/1986 02:00,937.59,0
05/09/1986 02:00,937.59,0
08/09/1986 02:00,937.59,0
09/09/1986 02:00,937.59,0
10/09/1986 02:00,937.59,0
11/09/1986 02:00,932.18,0
12/09/1986 02:00,932.18,0
15/09/1986 02:00,932.18,0
16/09/1986 02:00,932.18,0
17/09/1986 02:00,932.18,0
18/09/1986 02:00,934.04,0
19/09/1986 02:00,934.04,0
22/09/1986 02:00,934.04,0
23/09/1986 02:00,934.04,0
24/09/1986 02:00,934.04,0
25/09/1986 02:00,910.17,0
26/09/1986 02:00,910.17,0
29/09/1986 01:00,910.17,0
30/09/1986 01:00,910.17,0
01/10/1986 01:00,910.17,0
02/10/1986 01:00,869.64,0
03/10/1986 01:00,869.64,0
06/10/1986 01:00,869.64,0
07/10/1986 01:00,869.64,0
08/10/1986 01:00,869.64,0
09/10/1986 01:00,879.81,0
10/10/1986 01:00,879.81,0
13/10/1986 01:00,879.81,0
14/10/1986 01:00,879.81,0
15/10/1986 01:00,879.81,0
16/10/1986 01:00,895.13,0
17/10/1986 01:00,895.13,0
20/10/1986 01:00,895.13,0
21/10/1986 01:00,895.13,0
22/10/1986 01:00,895.13,0
23/10/1986 01:00,923.74,0
24/10/1986 01:00,923.74,0
27/10/1986 01:00,923.74,0
28/10/1986 01:00,923.74,0
29/10/1986 01:00,923.74,0
30/10/1986 01:00,957.4,0
31/10/1986 01:00,957.4,0
03/11/1986 01:00,957.4,0
04/11/1986 01:00,957.4,0
05/11/1986 01:00,957.4,0
06/11/1986 01:00,1013.6,0
07/11/1986 01:00,1013.6,0
10/11/1986 01:00,1013.6,0
11/11/1986 01:00,1013.6,0
12/11/1986 01:00,1013.6,0
13/11/1986 01:00,990.96,0
14/11/1986 01:00,990.96,0
17/11/1986 01:00,990.96,0
18/11/1986 01:00,990.96,0
19/11/1986 01:00,990.96,0
20/11/1986 01:00,1034.08,0
21/11/1986 01:00,1034.08,0
24/11/1986 01:00,1034.08,0
25/11/1986 01:00,1034.08,0
26/11/1986 01:00,1034.08,0
27/11/1986 01:00,1040.2,0
28/11/1986 01:00,1040.2,0
01/12/1986 01:00,1040.2,0
02/12/1986 01:00,1040.2,0
03/12/1986 01:00,1040.2,0
04/12/1986 01:00,1090.4,0
05/12/1986 01:00,1090.4,0
08/12/1986 01:00,1090.4,0
09/12/1986 01:00,1090.4,0
10/12/1986 01:00,1090.4,0
11/12/1986 01:00,1070.88,0
12/12/1986 01:00,1070.88,0
15/12/1986 01:00,1070.88,0
16/12/1986 01:00,1070.88,0
17/12/1986 01:00,1070.88,0
18/12/1986 01:00,1068.41,0
19/12/1986 01:00,1068.41,0
22/12/1986 01:00,1068.41,0
23/12/1986 01:00,1068.41,0
24/12/1986 01:00,1068.41,0
25/12/1986 01:00,1081.12,0
26/12/1986 01:00,1081.12,0
29/12/1986 01:00,1081.12,0
30/12/1986 01:00,1081.12,0
31/12/1986 01:00,1081.12,0
01/01/1987 01:00,1081.12,0
02/01/1987 01:00,1081.12,0
05/01/1987 01:00,1093.49,0
06/01/1987 01:00,1102.05,0
07/01/1987 01:00,1113.28,0
08/01/1987 01:00,1126.86,0
09/01/1987 01:00,1127.95,0
12/01/1987 01:00,1163.84,0
13/01/1987 01:00,1162.8,0
14/01/1987 01:00,1145.91,0
15/01/1987 01:00,1157.28,0
